wazi,wspd,route,wangle,sail,speed,chrono,lon,lat
278,9.21,68,-150,GV Spi,6.33,2d 12h 30' 01",8° 02.532',41° 03.872'
278,9.21,68,-150,GV Spi,6.32,2d 12h 30' 25",8° 02.584',41° 03.888'
277,9.20,68,-151,GV Spi,6.23,2d 12h 30' 34",8° 02.603',41° 03.893'
277,9.19,68,-151,GV Spi,6.23,2d 12h 31' 03",8° 02.664',41° 03.912'
277,9.19,68,-151,GV Spi,6.22,2d 12h 31' 15",8° 02.691',41° 03.920'
277,9.18,68,-151,GV Spi,6.22,2d 12h 31' 35",8° 02.735',41° 03.934'
277,9.17,68,-151,GV Spi,6.22,2d 12h 32' 09",8° 02.805',41° 03.955'
277,9.17,68,-151,GV Spi,6.21,2d 12h 32' 13",8° 02.814',41° 03.958'
277,9.16,68,-151,GV Spi,6.21,2d 12h 32' 38",8° 02.867',41° 03.974'
277,9.16,68,-151,GV Spi,6.20,2d 12h 33' 07",8° 02.928',41° 03.993'
277,9.15,68,-151,GV Spi,6.20,2d 12h 33' 11",8° 02.937',41° 03.995'
277,9.14,68,-151,GV Spi,6.20,2d 12h 33' 40",8° 02.998',41° 04.014'
277,9.14,68,-151,GV Spi,6.19,2d 12h 34' 05",8° 03.051',41° 04.030'
277,9.13,68,-151,GV Spi,6.19,2d 12h 34' 13",8° 03.068',41° 04.035'
277,9.12,68,-151,GV Spi,6.19,2d 12h 34' 46",8° 03.137',41° 04.057'
277,9.12,68,-151,GV Spi,6.18,2d 12h 35' 02",8° 03.173',41° 04.067'
277,9.11,68,-151,GV Spi,6.18,2d 12h 35' 15",8° 03.199',41° 04.075'
277,9.10,68,-151,GV Spi,6.18,2d 12h 35' 48",8° 03.269',41° 04.096'
277,9.10,68,-151,GV Spi,6.17,2d 12h 35' 56",8° 03.286',41° 04.102'
277,9.09,68,-151,GV Spi,6.17,2d 12h 36' 21",8° 03.338',41° 04.118'
277,9.08,68,-151,GV Spi,6.16,2d 12h 36' 54",8° 03.409',41° 04.139'
277,9.07,68,-151,GV Spi,6.16,2d 12h 37' 23",8° 03.470',41° 04.158'
277,9.07,68,-151,GV Spi,6.15,2d 12h 37' 52",8° 03.530',41° 04.176'
277,9.06,68,-151,GV Spi,6.15,2d 12h 37' 56",8° 03.539',41° 04.179'
277,9.05,68,-151,GV Spi,6.15,2d 12h 38' 29",8° 03.608',41° 04.200'
277,9.05,68,-151,GV Spi,6.14,2d 12h 38' 46",8° 03.643',41° 04.210'
277,9.04,68,-151,GV Spi,6.14,2d 12h 38' 58",8° 03.669',41° 04.218'
276,9.04,68,-152,GV Spi,6.05,2d 12h 39' 11",8° 03.695',41° 04.226'
276,9.03,68,-152,GV Spi,6.05,2d 12h 39' 32",8° 03.738',41° 04.239'
276,9.03,68,-152,GV Spi,6.04,2d 12h 39' 44",8° 03.763',41° 04.247'
276,9.02,68,-152,GV Spi,6.04,2d 12h 40' 04",8° 03.806',41° 04.260'
276,9.01,68,-152,GV Spi,6.04,2d 12h 40' 37",8° 03.874',41° 04.281'
276,9.01,68,-152,GV Spi,6.03,2d 12h 40' 42",8° 03.883',41° 04.283'
276,9.00,68,-152,GV Spi,6.03,2d 12h 41' 10",8° 03.942',41° 04.302'
276,9.00,68,-152,GV Spi,6.02,2d 12h 41' 39",8° 04.002',41° 04.320'
276,8.99,68,-152,GV Spi,6.02,2d 12h 41' 43",8° 04.010',41° 04.322'
276,8.98,68,-152,GV Spi,6.02,2d 12h 42' 12",8° 04.070',41° 04.340'
276,8.98,68,-152,GV Spi,6.01,2d 12h 42' 37",8° 04.121',41° 04.356'
276,8.97,68,-152,GV Spi,6.01,2d 12h 42' 45",8° 04.138',41° 04.361'
276,8.96,68,-152,GV Spi,6.01,2d 12h 43' 19",8° 04.206',41° 04.382'
276,8.96,68,-152,GV Spi,6.00,2d 12h 43' 35",8° 04.240',41° 04.392'
276,8.95,68,-152,GV Spi,6.00,2d 12h 43' 52",8° 04.274',41° 04.403'
276,8.94,68,-152,GV Spi,6.00,2d 12h 44' 25",8° 04.342',41° 04.423'
276,8.94,68,-152,GV Spi,5.99,2d 12h 44' 33",8° 04.359',41° 04.429'
276,8.93,68,-152,GV Spi,5.99,2d 12h 44' 58",8° 04.410',41° 04.444'
276,8.92,68,-152,GV Spi,5.98,2d 12h 45' 31",8° 04.478',41° 04.465'
276,8.91,68,-152,GV Spi,5.98,2d 12h 46' 00",8° 04.537',41° 04.483'
276,8.91,68,-152,GV Spi,5.97,2d 12h 46' 29",8° 04.596',41° 04.501'
276,8.90,68,-152,GV Spi,5.97,2d 12h 46' 33",8° 04.604',41° 04.503'
276,8.89,68,-152,GV Spi,5.97,2d 12h 47' 06",8° 04.671',41° 04.524'
276,8.89,68,-152,GV Spi,5.96,2d 12h 47' 27",8° 04.714',41° 04.537'
276,8.88,68,-152,GV Spi,5.96,2d 12h 47' 39",8° 04.740',41° 04.544'
275,8.88,68,-153,GV Spi,5.87,2d 12h 48' 04",8° 04.789',41° 04.559'
275,8.87,68,-153,GV Spi,5.87,2d 12h 48' 13",8° 04.806',41° 04.565'
275,8.87,68,-153,GV Spi,5.86,2d 12h 48' 25",8° 04.831',41° 04.572'
275,8.86,68,-153,GV Spi,5.86,2d 12h 48' 46",8° 04.873',41° 04.585'
275,8.85,68,-153,GV Spi,5.86,2d 12h 49' 19",8° 04.939',41° 04.605'
275,8.85,68,-153,GV Spi,5.85,2d 12h 49' 27",8° 04.956',41° 04.610'
275,8.84,68,-153,GV Spi,5.85,2d 12h 49' 52",8° 05.005',41° 04.625'
275,8.83,68,-153,GV Spi,5.84,2d 12h 50' 25",8° 05.071',41° 04.645'
275,8.82,68,-153,GV Spi,5.84,2d 12h 50' 58",8° 05.137',41° 04.665'
275,8.82,68,-153,GV Spi,5.83,2d 12h 51' 23",8° 05.187',41° 04.681'
275,8.81,68,-153,GV Spi,5.83,2d 12h 51' 31",8° 05.203',41° 04.685'
275,8.80,68,-153,GV Spi,5.83,2d 12h 52' 05",8° 05.270',41° 04.706'
