index,w_azi,w_spd,b_rte,w_ang,b_sails,b_spd,chrono,lon,lat,spd_perc,w_ang_a
3,206,12.99,122,84,GV Genois,8.0,"0d 01h 57' 06""",2° 27.171',41° 13.379',0.62,84
5,206,13.03,122,84,GV Genois,8.01,"0d 01h 58' 06""",2° 27.322',41° 13.308',0.61,84
6,206,13.04,124,82,GV Genois,7.96,"0d 01h 58' 36""",2° 27.398',41° 13.272',0.61,82
7,206,13.06,140,66,GV Genois,7.51,"0d 01h 59' 06""",2° 27.457',41° 13.227',0.58,66
9,208,13.62,140,68,GV Genois,7.67,"0d 02h 00' 06""",2° 27.563',41° 13.132',0.56,68
11,208,13.66,140,68,GV Genois,7.68,"0d 02h 01' 07""",2° 27.674',41° 13.033',0.56,68
14,208,13.72,140,68,GV Genois,7.69,"0d 02h 02' 37""",2° 27.838',41° 12.886',0.56,68
16,208,13.75,140,68,GV Genois,7.7,"0d 02h 03' 37""",2° 27.948',41° 12.787',0.56,68
19,208,13.81,140,68,GV Genois,7.71,"0d 02h 05' 08""",2° 28.114',41° 12.638',0.56,68
20,208,13.94,140,68,GV Genois,7.73,"0d 02h 08' 43""",2° 28.503',41° 12.289',0.55,68
21,206,14.7,140,66,GV Genois,7.81,"0d 02h 34' 48""",2° 31.388',41° 09.702',0.53,66
22,206,14.71,140,66,GV Genois,7.82,"0d 02h 35' 20""",2° 31.448',41° 09.648',0.53,66
24,206,14.76,140,66,GV Genois,7.83,"0d 02h 38' 05""",2° 31.753',41° 09.374',0.53,66
27,206,14.82,140,66,GV Genois,7.84,"0d 02h 41' 05""",2° 32.089',41° 09.073',0.53,66
30,206,14.88,140,66,GV Genois,7.85,"0d 02h 44' 05""",2° 32.423',41° 08.773',0.53,66
33,205,14.94,140,65,GV Genois,7.83,"0d 02h 47' 06""",2° 32.759',41° 08.471',0.52,65
35,205,14.98,140,65,GV Genois,7.84,"0d 02h 49' 06""",2° 32.982',41° 08.271',0.52,65
38,205,15.06,140,65,GV Genois,7.85,"0d 02h 53' 45""",2° 33.499',41° 07.807',0.52,65
43,205,15.16,140,65,GV Genois,7.86,"0d 02h 58' 45""",2° 34.060',41° 07.304',0.52,65
45,206,16.05,140,66,GV Genois,7.98,"0d 03h 00' 46""",2° 34.284',41° 07.103',0.5,66
49,206,16.14,140,66,GV Genois,7.99,"0d 03h 04' 46""",2° 34.738',41° 06.695',0.5,66
53,205,16.22,140,65,GV Genois,7.96,"0d 03h 08' 46""",2° 35.193',41° 06.286',0.49,65
55,205,16.27,140,65,GV Genois,7.97,"0d 03h 10' 47""",2° 35.420',41° 06.083',0.49,65
59,205,16.35,140,65,GV Genois,7.98,"0d 03h 14' 47""",2° 35.873',41° 05.676',0.49,65
64,205,16.45,140,65,GV Genois,7.99,"0d 03h 19' 48""",2° 36.442',41° 05.165',0.49,65
68,204,16.54,140,64,GV Genois,7.95,"0d 03h 23' 48""",2° 36.897',41° 04.756',0.48,64
70,204,16.58,140,64,GV Genois,7.96,"0d 03h 25' 49""",2° 37.124',41° 04.552',0.48,64
75,204,16.68,140,64,GV Genois,7.97,"0d 03h 30' 49""",2° 37.691',41° 04.043',0.48,64
80,204,16.78,140,64,GV Genois,7.98,"0d 03h 35' 50""",2° 38.258',41° 03.533',0.48,64
84,203,16.85,140,63,GV Genois,7.94,"0d 03h 39' 50""",2° 38.712',41° 03.125',0.47,63
86,203,16.89,140,63,GV Genois,7.95,"0d 03h 41' 50""",2° 38.938',41° 02.923',0.47,63
91,203,16.99,140,63,GV Genois,7.96,"0d 03h 46' 51""",2° 39.503',41° 02.414',0.47,63
96,203,17.08,140,63,GV Genois,7.97,"0d 03h 51' 51""",2° 40.070',41° 01.905',0.47,63
100,202,17.15,140,62,GV Genois,7.93,"0d 03h 55' 52""",2° 40.523',41° 01.497',0.46,62
101,202,17.17,140,62,GV Genois,7.94,"0d 03h 56' 52""",2° 40.636',41° 01.396',0.46,62
105,203,18.3,140,63,GV Genois,8.1,"0d 04h 00' 52""",2° 41.089',41° 00.989',0.44,63
109,203,18.39,140,63,GV Genois,8.11,"0d 04h 04' 53""",2° 41.550',41° 00.574',0.44,63
113,203,18.47,140,63,GV Genois,8.12,"0d 04h 08' 53""",2° 42.011',41° 00.160',0.44,63
119,203,18.46,140,63,GV Genois,8.11,"0d 04h 14' 54""",2° 42.704',40° 59.536',0.44,63
128,203,18.36,140,63,GV Genois,8.1,"0d 04h 23' 55""",2° 43.742',40° 58.602',0.44,63
136,203,18.27,140,63,GV Genois,8.09,"0d 04h 31' 56""",2° 44.662',40° 57.774',0.44,63
144,203,18.17,140,63,GV Genois,8.08,"0d 04h 39' 57""",2° 45.582',40° 56.946',0.44,63
151,203,18.08,140,63,GV Genois,8.07,"0d 04h 46' 57""",2° 46.385',40° 56.223',0.45,63
158,203,17.99,140,63,GV Genois,8.06,"0d 04h 53' 58""",2° 47.188',40° 55.500',0.45,63
165,212,16.93,140,72,GV Genois,8.27,"0d 05h 00' 59""",2° 47.991',40° 54.777',0.49,72
178,212,16.88,140,72,GV Genois,8.26,"0d 05h 14' 00""",2° 49.517',40° 53.403',0.49,72
212,212,16.69,140,72,GV Genois,8.24,"0d 05h 48' 03""",2° 53.499',40° 49.813',0.49,72
224,222,16.85,140,82,GV Genois,8.56,"0d 06h 00' 05""",2° 54.901',40° 48.549',0.51,82
270,221,16.91,140,81,GV Genois,8.54,"0d 06h 46' 11""",3° 00.483',40° 43.511',0.51,81
284,229,18.17,140,89,GV Genois,8.83,"0d 07h 00' 13""",3° 02.176',40° 41.981',0.49,89
294,228,18.22,140,88,GV Genois,8.81,"0d 07h 10' 14""",3° 03.427',40° 40.852',0.48,88
299,228,18.25,140,88,GV Genois,8.82,"0d 07h 15' 15""",3° 04.050',40° 40.288',0.48,88
309,227,18.29,140,87,GV Genois,8.8,"0d 07h 25' 16""",3° 05.299',40° 39.159',0.48,87
326,226,18.35,140,86,GV Genois,8.79,"0d 07h 42' 18""",3° 07.415',40° 37.246',0.48,86
343,225,18.39,140,85,GV Genois,8.78,"0d 07h 59' 20""",3° 09.528',40° 35.333',0.48,85
344,236,21.76,144,92,GV 1 Foc 1,9.53,"0d 09h 00' 34""",3° 17.272',40° 28.259',0.44,92
345,236,21.73,144,92,GV 1 Foc 1,9.52,"0d 09h 01' 34""",3° 17.394',40° 28.130',0.44,92
348,236,21.64,144,92,GV 1 Foc 1,9.51,"0d 09h 04' 34""",3° 17.763',40° 27.745',0.44,92
351,236,21.55,144,92,GV 1 Foc 1,9.5,"0d 09h 07' 34""",3° 18.130',40° 27.360',0.44,92
354,236,21.45,144,92,GV 1 Foc 1,9.49,"0d 09h 10' 35""",3° 18.499',40° 26.974',0.44,92
355,235,21.42,144,91,GV 1 Foc 1,9.47,"0d 09h 11' 35""",3° 18.619',40° 26.848',0.44,91
356,235,21.39,144,91,GV 1 Foc 1,9.46,"0d 09h 12' 35""",3° 18.740',40° 26.721',0.44,91
358,235,21.33,144,91,GV 1 Foc 1,9.45,"0d 09h 14' 36""",3° 18.985',40° 26.465',0.44,91
361,235,21.24,144,91,GV 1 Foc 1,9.44,"0d 09h 17' 36""",3° 19.350',40° 26.081',0.44,91
364,235,21.15,144,91,GV 1 Foc 1,9.43,"0d 09h 20' 36""",3° 19.715',40° 25.699',0.45,91
367,235,21.06,144,91,GV 1 Foc 1,9.42,"0d 09h 23' 37""",3° 20.080',40° 25.317',0.45,91
370,235,20.97,144,91,GV 1 Foc 1,9.41,"0d 09h 26' 37""",3° 20.445',40° 24.935',0.45,91
373,235,20.88,144,91,GV 1 Foc 1,9.4,"0d 09h 29' 37""",3° 20.808',40° 24.554',0.45,91
376,235,20.79,144,91,GV 1 Foc 1,9.39,"0d 09h 32' 38""",3° 21.172',40° 24.173',0.45,91
379,235,20.69,144,91,GV 1 Foc 1,9.38,"0d 09h 35' 38""",3° 21.535',40° 23.792',0.45,91
382,235,20.6,144,91,GV 1 Foc 1,9.37,"0d 09h 38' 39""",3° 21.898',40° 23.412',0.45,91
385,235,20.51,144,91,GV 1 Foc 1,9.36,"0d 09h 41' 39""",3° 22.260',40° 23.033',0.46,91
387,235,20.45,144,91,GV 1 Foc 1,9.35,"0d 09h 43' 39""",3° 22.501',40° 22.779',0.46,91
390,235,20.36,144,91,GV 1 Foc 1,9.34,"0d 09h 46' 40""",3° 22.863',40° 22.400',0.46,91
393,235,20.26,144,91,GV 1 Foc 1,9.33,"0d 09h 49' 40""",3° 23.223',40° 22.022',0.46,91
396,235,20.17,144,91,GV 1 Foc 1,9.32,"0d 09h 52' 40""",3° 23.584',40° 21.644',0.46,91
397,234,20.14,144,90,GV 1 Foc 1,9.3,"0d 09h 53' 40""",3° 23.704',40° 21.518',0.46,90
398,234,20.11,144,90,GV 1 Foc 1,9.29,"0d 09h 54' 41""",3° 23.824',40° 21.392',0.46,90
401,234,20.02,144,90,GV 1 Foc 1,9.28,"0d 09h 57' 41""",3° 24.183',40° 21.016',0.46,90
402,234,19.99,144,90,GV 1 Foc 1,9.27,"0d 09h 58' 41""",3° 24.303',40° 20.890',0.46,90
403,234,19.95,144,90,GV 1 Foc 1,9.26,"0d 09h 59' 41""",3° 24.422',40° 20.765',0.46,90
404,240,21.67,144,96,GV 1 Foc 1,9.61,"0d 10h 00' 41""",3° 24.543',40° 20.638',0.44,96
405,240,21.63,144,96,GV 1 Foc 1,9.6,"0d 10h 01' 41""",3° 24.667',40° 20.508',0.44,96
407,240,21.55,144,96,GV 1 Foc 1,9.59,"0d 10h 03' 42""",3° 24.913',40° 20.248',0.45,96
410,240,21.44,144,96,GV 1 Foc 1,9.58,"0d 10h 06' 42""",3° 25.283',40° 19.860',0.45,96
412,240,21.36,144,96,GV 1 Foc 1,9.57,"0d 10h 08' 42""",3° 25.530',40° 19.601',0.45,96
414,240,21.28,144,96,GV 1 Foc 1,9.56,"0d 10h 10' 42""",3° 25.776',40° 19.342',0.45,96
416,240,21.2,144,96,GV 1 Foc 1,9.55,"0d 10h 12' 43""",3° 26.023',40° 19.084',0.45,96
419,240,21.08,144,96,GV 1 Foc 1,9.54,"0d 10h 15' 43""",3° 26.392',40° 18.697',0.45,96
421,240,21.0,144,96,GV 1 Foc 1,9.53,"0d 10h 17' 43""",3° 26.637',40° 18.440',0.45,96
423,240,20.93,144,96,GV 1 Foc 1,9.52,"0d 10h 19' 44""",3° 26.882',40° 18.182',0.45,96
425,240,20.85,144,96,GV 1 Foc 1,9.51,"0d 10h 21' 44""",3° 27.127',40° 17.925',0.46,96
427,240,20.77,144,96,GV 1 Foc 1,9.5,"0d 10h 23' 45""",3° 27.372',40° 17.667',0.46,96
430,240,20.65,144,96,GV 1 Foc 1,9.49,"0d 10h 26' 45""",3° 27.738',40° 17.283',0.46,96
432,240,20.57,144,96,GV 1 Foc 1,9.48,"0d 10h 28' 45""",3° 27.983',40° 17.026',0.46,96
434,240,20.49,144,96,GV 1 Foc 1,9.47,"0d 10h 30' 45""",3° 28.226',40° 16.771',0.46,96
436,240,20.41,144,96,GV 1 Foc 1,9.46,"0d 10h 32' 46""",3° 28.471',40° 16.514',0.46,96
438,240,20.33,144,96,GV 1 Foc 1,9.45,"0d 10h 34' 46""",3° 28.714',40° 16.259',0.46,96
440,240,20.25,144,96,GV 1 Foc 1,9.44,"0d 10h 36' 46""",3° 28.957',40° 16.003',0.47,96
443,240,20.13,144,96,GV 1 Foc 1,9.43,"0d 10h 39' 46""",3° 29.321',40° 15.621',0.47,96
445,240,20.05,144,96,GV 1 Foc 1,9.42,"0d 10h 41' 47""",3° 29.564',40° 15.366',0.47,96
447,240,19.97,144,96,GV 1 Foc 1,9.41,"0d 10h 43' 47""",3° 29.806',40° 15.112',0.47,96
448,240,19.93,144,96,GV 1 Foc 1,9.39,"0d 10h 44' 47""",3° 29.926',40° 14.985',0.47,96
449,240,19.89,144,96,GV 1 Foc 1,9.37,"0d 10h 45' 47""",3° 30.048',40° 14.858',0.47,96
450,241,19.83,144,97,GV 1 Foc 1,9.37,"0d 10h 46' 47""",3° 30.168',40° 14.731',0.47,97
451,241,19.78,144,97,GV 1 Foc 1,9.35,"0d 10h 47' 47""",3° 30.288',40° 14.605',0.47,97
452,241,19.72,144,97,GV 1 Foc 1,9.33,"0d 10h 48' 47""",3° 30.408',40° 14.479',0.47,97
453,241,19.67,144,97,GV 1 Foc 1,9.31,"0d 10h 49' 47""",3° 30.528',40° 14.354',0.47,97
454,241,19.62,144,97,GV 1 Foc 1,9.28,"0d 10h 50' 48""",3° 30.648',40° 14.227',0.47,97
455,241,19.56,144,97,GV 1 Foc 1,9.26,"0d 10h 51' 48""",3° 30.767',40° 14.102',0.47,97
456,241,19.51,144,97,GV 1 Foc 1,9.24,"0d 10h 52' 48""",3° 30.886',40° 13.977',0.47,97
457,241,19.45,144,97,GV 1 Foc 1,9.22,"0d 10h 53' 48""",3° 31.004',40° 13.853',0.47,97
458,241,19.4,144,97,GV 1 Foc 1,9.2,"0d 10h 54' 48""",3° 31.122',40° 13.727',0.47,97
459,241,19.34,144,97,GV 1 Foc 1,9.18,"0d 10h 55' 48""",3° 31.241',40° 13.603',0.47,97
460,241,19.29,144,97,GV 1 Foc 1,9.16,"0d 10h 56' 48""",3° 31.359',40° 13.480',0.47,97
461,241,19.24,144,97,GV 1 Foc 1,9.14,"0d 10h 57' 48""",3° 31.476',40° 13.356',0.48,97
462,241,19.18,144,97,GV 1 Foc 1,9.12,"0d 10h 58' 48""",3° 31.594',40° 13.233',0.48,97
463,241,19.13,144,97,GV 1 Foc 1,9.1,"0d 10h 59' 49""",3° 31.712',40° 13.109',0.48,97
464,258,11.29,109,149,GV Spi,7.49,"0d 14h 21' 28""",3° 49.253',39° 54.825',0.66,149
465,258,11.27,109,149,GV Spi,7.48,"0d 14h 22' 28""",3° 49.407',39° 54.784',0.66,149
467,258,11.24,109,149,GV Spi,7.47,"0d 14h 24' 29""",3° 49.716',39° 54.703',0.66,149
468,258,11.22,109,149,GV Spi,7.46,"0d 14h 25' 29""",3° 49.869',39° 54.662',0.66,149
469,258,11.0,109,149,GV Spi,7.35,"0d 14h 39' 11""",3° 51.936',39° 54.116',0.67,149
472,258,10.97,109,149,GV Spi,7.33,"0d 14h 41' 07""",3° 52.198',39° 54.047',0.67,149
481,258,10.92,109,149,GV Spi,7.31,"0d 14h 44' 32""",3° 52.689',39° 53.918',0.67,149
486,258,10.78,109,149,GV Spi,7.24,"0d 14h 54' 24""",3° 54.098',39° 53.545',0.67,149
489,258,10.78,109,149,GV Genois,5.88,"0d 14h 54' 34""",3° 54.120',39° 53.539',0.55,149
490,258,10.78,109,149,GV 1 Foc 1,3.46,"0d 14h 54' 37""",3° 54.124',39° 53.538',0.32,149
492,258,10.78,109,149,GV 2 Foc 2,0.49,"0d 14h 54' 43""",3° 54.129',39° 53.537',0.05,149
493,258,10.78,109,149,GV 3 Foc 3,0.0,"0d 14h 54' 46""",3° 54.129',39° 53.537',0.0,149
495,258,10.78,109,149,GV Spi,7.24,"0d 14h 54' 52""",3° 54.137',39° 53.535',0.67,149
497,258,10.76,109,149,GV Spi,7.23,"0d 14h 56' 17""",3° 54.346',39° 53.480',0.67,149
498,258,10.74,109,149,GV Spi,7.22,"0d 14h 57' 17""",3° 54.494',39° 53.441',0.67,149
500,258,10.72,109,149,GV Spi,7.21,"0d 14h 59' 17""",3° 54.792',39° 53.362',0.67,149
501,262,10.76,109,153,GV Spi,6.89,"0d 15h 00' 17""",3° 54.937',39° 53.324',0.64,153
503,262,10.74,109,153,GV Spi,6.88,"0d 15h 02' 18""",3° 55.221',39° 53.249',0.64,153
505,262,10.72,109,153,GV Spi,6.87,"0d 15h 04' 18""",3° 55.504',39° 53.174',0.64,153
507,262,10.7,111,151,GV Spi,7.04,"0d 15h 06' 18""",3° 55.787',39° 53.096',0.66,151
508,262,10.69,113,149,GV Spi,7.2,"0d 15h 07' 19""",3° 55.931',39° 53.052',0.67,149
509,262,10.69,120,142,GV Spi,7.69,"0d 15h 08' 19""",3° 56.075',39° 52.999',0.72,142
510,263,10.67,111,152,GV Spi,6.93,"0d 15h 10' 19""",3° 56.350',39° 52.908',0.65,152
511,263,10.67,112,151,GV Spi,7.02,"0d 15h 11' 19""",3° 56.491',39° 52.864',0.66,151
513,263,10.65,112,151,GV Spi,7.01,"0d 15h 13' 19""",3° 56.774',39° 52.776',0.66,151
514,263,10.64,113,150,GV Spi,7.1,"0d 15h 14' 20""",3° 56.916',39° 52.731',0.67,150
515,263,10.64,114,149,GV Spi,7.17,"0d 15h 15' 20""",3° 57.059',39° 52.683',0.67,149
516,263,10.63,115,148,GV Spi,7.24,"0d 15h 16' 20""",3° 57.201',39° 52.632',0.68,148
517,263,10.63,120,143,GV Spi,7.6,"0d 15h 17' 20""",3° 57.343',39° 52.577',0.71,143
518,263,10.63,125,138,GV Spi,7.88,"0d 15h 18' 20""",3° 57.486',39° 52.507',0.74,138
519,263,10.63,130,133,GV Spi,8.08,"0d 15h 19' 20""",3° 57.624',39° 52.427',0.76,133
520,263,10.63,130,133,GV Genois,7.13,"0d 15h 20' 20""",3° 57.744',39° 52.349',0.67,133
521,263,10.64,135,128,GV Genois,7.41,"0d 15h 21' 20""",3° 57.859',39° 52.263',0.7,128
522,263,10.65,135,128,GV Spi,8.2,"0d 15h 22' 21""",3° 57.978',39° 52.172',0.77,128
526,263,10.68,135,128,GV Spi,8.21,"0d 15h 26' 21""",3° 58.483',39° 51.784',0.77,128
529,263,10.7,135,128,GV Genois,7.43,"0d 15h 29' 21""",3° 58.856',39° 51.498',0.69,128
530,263,10.71,135,128,GV Spi,8.22,"0d 15h 30' 22""",3° 58.981',39° 51.399',0.77,128
533,263,10.74,135,128,GV Spi,8.23,"0d 15h 33' 22""",3° 59.361',39° 51.108',0.77,128
536,263,10.77,135,128,GV Spi,8.24,"0d 15h 36' 23""",3° 59.741',39° 50.816',0.77,128
539,263,10.82,135,128,GV Spi,8.25,"0d 15h 39' 23""",4° 00.122',39° 50.523',0.76,128
540,263,10.85,135,128,GV Spi,8.26,"0d 15h 40' 23""",4° 00.248',39° 50.426',0.76,128
541,263,10.88,135,128,GV Spi,8.27,"0d 15h 41' 23""",4° 00.375',39° 50.329',0.76,128
542,263,10.91,135,128,GV Spi,8.28,"0d 15h 42' 24""",4° 00.503',39° 50.230',0.76,128
543,263,10.95,135,128,GV Spi,8.29,"0d 15h 43' 24""",4° 00.631',39° 50.133',0.76,128
544,263,10.98,135,128,GV Spi,8.3,"0d 15h 44' 24""",4° 00.758',39° 50.035',0.76,128
545,263,11.01,135,128,GV Spi,8.31,"0d 15h 45' 24""",4° 00.886',39° 49.936',0.75,128
546,263,11.04,135,128,GV Spi,8.32,"0d 15h 46' 24""",4° 01.014',39° 49.838',0.75,128
547,263,11.07,135,128,GV Spi,8.33,"0d 15h 47' 24""",4° 01.142',39° 49.740',0.75,128
548,263,11.1,135,128,GV Spi,8.34,"0d 15h 48' 25""",4° 01.271',39° 49.641',0.75,128
549,263,11.13,135,128,GV Spi,8.35,"0d 15h 49' 25""",4° 01.399',39° 49.543',0.75,128
550,263,11.17,135,128,GV Spi,8.36,"0d 15h 50' 25""",4° 01.527',39° 49.444',0.75,128
551,263,11.2,135,128,GV Spi,8.37,"0d 15h 51' 25""",4° 01.656',39° 49.345',0.75,128
552,263,11.23,135,128,GV Spi,8.38,"0d 15h 52' 25""",4° 01.785',39° 49.246',0.75,128
553,263,11.26,135,128,GV Spi,8.39,"0d 15h 53' 25""",4° 01.914',39° 49.147',0.75,128
554,263,11.29,135,128,GV Spi,8.4,"0d 15h 54' 25""",4° 02.043',39° 49.048',0.74,128
555,263,11.32,135,128,GV Spi,8.41,"0d 15h 55' 26""",4° 02.173',39° 48.948',0.74,128
556,263,11.35,135,128,GV Spi,8.42,"0d 15h 56' 26""",4° 02.302',39° 48.849',0.74,128
557,263,11.38,135,128,GV Spi,8.43,"0d 15h 57' 26""",4° 02.432',39° 48.749',0.74,128
558,263,11.41,135,128,GV Spi,8.44,"0d 15h 58' 26""",4° 02.561',39° 48.650',0.74,128
559,263,11.44,135,128,GV Spi,8.45,"0d 15h 59' 26""",4° 02.691',39° 48.550',0.74,128
560,260,12.17,135,125,GV Spi,8.69,"0d 16h 00' 27""",4° 02.821',39° 48.450',0.71,125
561,260,12.21,135,125,GV Spi,8.7,"0d 16h 01' 27""",4° 02.956',39° 48.347',0.71,125
562,260,12.24,135,125,GV Spi,8.71,"0d 16h 02' 27""",4° 03.089',39° 48.244',0.71,125
563,260,12.27,135,125,GV Spi,8.72,"0d 16h 03' 27""",4° 03.223',39° 48.141',0.71,125
564,260,12.31,135,125,GV Spi,8.73,"0d 16h 04' 28""",4° 03.358',39° 48.038',0.71,125
565,260,12.34,135,125,GV Spi,8.74,"0d 16h 05' 28""",4° 03.492',39° 47.935',0.71,125
566,260,12.37,135,125,GV Spi,8.75,"0d 16h 06' 28""",4° 03.626',39° 47.832',0.71,125
567,260,12.4,135,125,GV Spi,8.76,"0d 16h 07' 28""",4° 03.761',39° 47.728',0.71,125
568,260,12.44,135,125,GV Spi,8.77,"0d 16h 08' 28""",4° 03.896',39° 47.624',0.7,125
569,260,12.47,135,125,GV Spi,8.78,"0d 16h 09' 28""",4° 04.030',39° 47.521',0.7,125
571,260,12.53,135,125,GV Spi,8.79,"0d 16h 11' 29""",4° 04.301',39° 47.313',0.7,125
572,260,12.56,135,125,GV Spi,8.8,"0d 16h 12' 29""",4° 04.436',39° 47.209',0.7,125
573,260,12.6,135,125,GV Spi,8.81,"0d 16h 13' 29""",4° 04.571',39° 47.106',0.7,125
574,260,12.63,135,125,GV Spi,8.82,"0d 16h 14' 29""",4° 04.707',39° 47.001',0.7,125
575,260,12.66,135,125,GV Spi,8.83,"0d 16h 15' 29""",4° 04.843',39° 46.897',0.7,125
576,260,12.69,135,125,GV Spi,8.84,"0d 16h 16' 29""",4° 04.978',39° 46.793',0.7,125
577,260,12.72,135,125,GV Spi,8.85,"0d 16h 17' 29""",4° 05.114',39° 46.688',0.7,125
578,260,12.75,135,125,GV Spi,8.86,"0d 16h 18' 30""",4° 05.251',39° 46.583',0.69,125
579,260,12.78,135,125,GV Spi,8.87,"0d 16h 19' 30""",4° 05.387',39° 46.479',0.69,125
580,260,12.82,135,125,GV Spi,8.88,"0d 16h 20' 30""",4° 05.523',39° 46.374',0.69,125
581,260,12.85,135,125,GV Spi,8.89,"0d 16h 21' 30""",4° 05.660',39° 46.269',0.69,125
582,260,12.88,135,125,GV Spi,8.9,"0d 16h 22' 30""",4° 05.797',39° 46.164',0.69,125
584,260,12.94,135,125,GV Spi,8.91,"0d 16h 24' 31""",4° 06.071',39° 45.953',0.69,125
585,259,12.97,135,124,GV Spi,8.92,"0d 16h 25' 31""",4° 06.207',39° 45.848',0.69,124
586,259,13.0,135,124,GV Spi,8.93,"0d 16h 26' 31""",4° 06.344',39° 45.743',0.69,124
588,259,13.06,135,124,GV Spi,8.94,"0d 16h 28' 31""",4° 06.619',39° 45.531',0.68,124
589,259,13.09,135,124,GV Spi,8.95,"0d 16h 29' 31""",4° 06.756',39° 45.426',0.68,124
590,259,13.12,135,124,GV Spi,8.96,"0d 16h 30' 32""",4° 06.895',39° 45.319',0.68,124
591,259,13.15,135,124,GV Spi,8.97,"0d 16h 31' 32""",4° 07.032',39° 45.214',0.68,124
592,259,13.18,135,124,GV Spi,8.98,"0d 16h 32' 32""",4° 07.170',39° 45.108',0.68,124
593,259,13.21,135,124,GV Spi,8.99,"0d 16h 33' 32""",4° 07.308',39° 45.002',0.68,124
594,259,13.24,135,124,GV Spi,9.0,"0d 16h 34' 32""",4° 07.447',39° 44.895',0.68,124
596,259,13.3,135,124,GV Spi,9.01,"0d 16h 36' 32""",4° 07.723',39° 44.683',0.68,124
597,259,13.33,135,124,GV Spi,9.02,"0d 16h 37' 33""",4° 07.862',39° 44.576',0.68,124
598,259,13.36,135,124,GV Spi,9.03,"0d 16h 38' 33""",4° 08.000',39° 44.470',0.68,124
599,259,13.39,135,124,GV Spi,9.04,"0d 16h 39' 33""",4° 08.139',39° 44.363',0.68,124
600,259,13.42,135,124,GV Spi,9.05,"0d 16h 40' 33""",4° 08.279',39° 44.256',0.67,124
602,259,13.48,135,124,GV Spi,9.06,"0d 16h 42' 33""",4° 08.556',39° 44.042',0.67,124
603,259,13.51,135,124,GV Spi,9.07,"0d 16h 43' 34""",4° 08.696',39° 43.934',0.67,124
604,259,13.53,135,124,GV Spi,9.08,"0d 16h 44' 34""",4° 08.835',39° 43.828',0.67,124
605,259,13.56,135,124,GV Spi,9.09,"0d 16h 45' 34""",4° 08.974',39° 43.720',0.67,124
606,259,13.59,135,124,GV Spi,9.1,"0d 16h 46' 34""",4° 09.115',39° 43.612',0.67,124
608,259,13.65,135,124,GV Spi,9.11,"0d 16h 48' 34""",4° 09.394',39° 43.398',0.67,124
609,259,13.68,135,124,GV Spi,9.12,"0d 16h 49' 35""",4° 09.535',39° 43.290',0.67,124
610,259,13.7,135,124,GV Spi,9.13,"0d 16h 50' 35""",4° 09.675',39° 43.182',0.67,124
611,259,13.73,135,124,GV Spi,9.14,"0d 16h 51' 35""",4° 09.814',39° 43.074',0.67,124
613,259,13.79,135,124,GV Spi,9.15,"0d 16h 53' 35""",4° 10.096',39° 42.858',0.66,124
614,259,13.81,135,124,GV Spi,9.16,"0d 16h 54' 35""",4° 10.236',39° 42.750',0.66,124
615,259,13.84,135,124,GV Spi,9.17,"0d 16h 55' 35""",4° 10.377',39° 42.642',0.66,124
616,259,13.87,135,124,GV Spi,9.18,"0d 16h 56' 36""",4° 10.518',39° 42.533',0.66,124
618,259,13.92,135,124,GV Spi,9.19,"0d 16h 58' 36""",4° 10.800',39° 42.317',0.66,124
619,259,13.95,135,124,GV Spi,9.2,"0d 16h 59' 36""",4° 10.940',39° 42.208',0.66,124
620,259,12.44,135,124,GV Spi,8.76,"0d 17h 00' 36""",4° 11.077',39° 42.103',0.7,124
621,259,12.46,135,124,GV Spi,8.77,"0d 17h 01' 36""",4° 11.212',39° 42.000',0.7,124
622,259,12.48,135,124,GV Spi,8.78,"0d 17h 02' 36""",4° 11.346',39° 41.896',0.7,124
639,259,12.33,259,0,GV Spi,0.0,"0d 17h 19' 39""",4° 13.400',39° 43.292',0.0,0
643,258,12.31,90,168,GV Spi,5.76,"0d 17h 24' 39""",4° 13.955',39° 43.555',0.47,168
644,258,12.32,110,148,GV Spi,8.06,"0d 17h 25' 39""",4° 14.090',39° 43.546',0.65,148
645,258,12.33,110,148,GV Spi,8.07,"0d 17h 26' 40""",4° 14.254',39° 43.500',0.65,148
646,258,12.43,110,148,GV Spi,8.12,"0d 17h 34' 28""",4° 15.540',39° 43.140',0.65,148
648,258,12.46,110,148,GV Spi,8.13,"0d 17h 36' 28""",4° 15.872',39° 43.047',0.65,148
649,258,12.47,110,148,GV Spi,8.14,"0d 17h 37' 28""",4° 16.038',39° 43.001',0.65,148
651,258,12.49,110,148,GV Spi,8.15,"0d 17h 39' 29""",4° 16.371',39° 42.908',0.65,148
652,258,12.51,110,148,GV Spi,8.16,"0d 17h 40' 28""",4° 16.536',39° 42.861',0.65,148
654,258,12.53,110,148,GV Spi,8.17,"0d 17h 42' 29""",4° 16.870',39° 42.768',0.65,148
656,258,12.56,110,148,GV Spi,8.18,"0d 17h 44' 29""",4° 17.204',39° 42.674',0.65,148
657,258,12.57,110,148,GV Spi,8.19,"0d 17h 45' 30""",4° 17.371',39° 42.628',0.65,148
659,258,12.59,110,148,GV Spi,8.2,"0d 17h 47' 30""",4° 17.705',39° 42.534',0.65,148
661,258,12.62,120,138,GV Spi,8.66,"0d 17h 49' 30""",4° 18.038',39° 42.428',0.69,138
